country_name,year,population
Australia,2020,"25,499,884"
Niger,2020,"24,206,644"
North Korea,2020,"25,778,816"
Venezuela,2020,"28,435,940"
Madagascar,2020,"27,691,018"
Nepal,2020,"29,136,808"
Algeria,2020,"43,851,044"
Spain,2020,"46,754,778"
Colombia,2020,"50,882,891"
Uganda,2020,"45,741,007"
Argentina,2020,"45,195,774"
United Kingdom,2020,"67,886,011"
Myanmar,2020,"54,409,800"
South Korea,2020,"51,269,185"
Italy,2020,"60,461,826"
South Africa,2020,"59,308,690"
France,2020,"65,273,511"
Kenya,2020,"53,771,296"
Tanzania,2020,"59,734,218"
Thailand,2020,"69,799,978"
Iran,2020,"83,992,949"
Germany,2020,"83,783,942"
DR Congo,2020,"89,561,403"
Vietnam,2020,"97,338,579"
Philippines,2020,"109,581,078"
Turkey,2020,"84,339,067"
Egypt,2020,"102,334,404"
Ethiopia,2020,"114,963,588"
Mexico,2020,"128,932,753"
Pakistan,2020,"220,892,340"
Japan,2020,"126,476,461"
Russia,2020,"145,934,462"
Bangladesh,2020,"164,689,383"
Nigeria,2020,"206,139,589"
Brazil,2020,"212,559,417"
Indonesia,2020,"273,523,615"
United States,2020,"331,002,651"
India,2020,"1,380,004,385"
